article_id,rating_approach,label,intention_type,article_url
2136,2,Credible information,,https://www.bbc.com/news/articles/cg33y9eedz7o
2136,1,Credible information,,https://www.bbc.com/news/articles/cg33y9eedz7o
2136,3,Credible information,,https://www.bbc.com/news/articles/cg33y9eedz7o
2148,3,Disinformation,Undermining international organizations and alliances,https://expose-news.com/2023/12/30/lithium-reserves-in-donbas-needed-for-electric-vehicles/
2148,2,Disinformation,Undermining international organizations and alliances,https://expose-news.com/2023/12/30/lithium-reserves-in-donbas-needed-for-electric-vehicles/
2148,1,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances",https://expose-news.com/2023/12/30/lithium-reserves-in-donbas-needed-for-electric-vehicles/
2149,1,Credible information,,https://www.france24.com/en/europe/20240203-ukrainian-shelling-in-eastern-occupied-city-kills-at-least-eight-russia-says
2149,3,Credible information,,https://www.france24.com/en/europe/20240203-ukrainian-shelling-in-eastern-occupied-city-kills-at-least-eight-russia-says
2149,2,Credible information,,https://www.france24.com/en/europe/20240203-ukrainian-shelling-in-eastern-occupied-city-kills-at-least-eight-russia-says
2152,2,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances",https://expose-news.com/2022/09/01/boris-johnson-kept-the-ukraine-conflict-going/
2152,3,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances",https://expose-news.com/2022/09/01/boris-johnson-kept-the-ukraine-conflict-going/
2152,1,Disinformation,"Undermining the credibility of public institutions, Changing political views",https://expose-news.com/2022/09/01/boris-johnson-kept-the-ukraine-conflict-going/
2158,1,Credible information,,https://thepeoplesvoice.tv/zelensky-and-nato-vow-to-turn-post-war-ukraine-into-a-big-israel-funded-by-us-taxpayers/
2158,2,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances",https://thepeoplesvoice.tv/zelensky-and-nato-vow-to-turn-post-war-ukraine-into-a-big-israel-funded-by-us-taxpayers/
2158,3,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances",https://thepeoplesvoice.tv/zelensky-and-nato-vow-to-turn-post-war-ukraine-into-a-big-israel-funded-by-us-taxpayers/
2166,1,Disinformation,"Changing political views, Undermining international organizations and alliances",https://thepeoplesvoice.tv/zelensky-declares-no-more-elections-in-ukraine-until-great-reset-in-2030/
2166,3,Disinformation,"Undermining the credibility of public institutions, Changing political views",https://thepeoplesvoice.tv/zelensky-declares-no-more-elections-in-ukraine-until-great-reset-in-2030/
2166,2,Disinformation,"Undermining the credibility of public institutions, Changing political views",https://thepeoplesvoice.tv/zelensky-declares-no-more-elections-in-ukraine-until-great-reset-in-2030/
2168,2,Credible information,,https://www.bbc.com/news/articles/cn00e422yr2o
2168,1,Credible information,,https://www.bbc.com/news/articles/cn00e422yr2o
2168,3,Credible information,,https://www.bbc.com/news/articles/cn00e422yr2o
2172,2,Credible information,,https://www.bbc.com/news/articles/c722zxj0kyro
2172,1,Credible information,,https://www.bbc.com/news/articles/c722zxj0kyro
2172,3,Credible information,,https://www.bbc.com/news/articles/c722zxj0kyro
2187,1,Credible information,,https://www.theguardian.com/world/article/2024/may/07/zelenskiy-assassination-plot-foiled-by-security-service-says-ukraine
2187,3,Credible information,,https://www.theguardian.com/world/article/2024/may/07/zelenskiy-assassination-plot-foiled-by-security-service-says-ukraine
2187,2,Credible information,,https://www.theguardian.com/world/article/2024/may/07/zelenskiy-assassination-plot-foiled-by-security-service-says-ukraine
2192,1,Disinformation,Undermining the credibility of public institutions,https://expose-news.com/2023/03/05/what-do-ethiopia-ukraine-and-marxism-have-in-common/
2192,2,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances, Undermining scientific knowledge",https://expose-news.com/2023/03/05/what-do-ethiopia-ukraine-and-marxism-have-in-common/
2192,3,Disinformation,"Undermining the credibility of public institutions, Undermining international organizations and alliances, Undermining scientific knowledge",https://expose-news.com/2023/03/05/what-do-ethiopia-ukraine-and-marxism-have-in-common/
2194,3,Disinformation,"Undermining the credibility of public institutions, Changing political views, Undermining international organizations and alliances",https://expose-news.com/2022/06/09/red-cross-harvesting-organs-in-ukraine/
2194,2,Disinformation,"Undermining the credibility of public institutions, Changing political views, Undermining international organizations and alliances",https://expose-news.com/2022/06/09/red-cross-harvesting-organs-in-ukraine/
2194,1,Disinformation,"Changing political views, Undermining international organizations and alliances, Promoting social stereotypes/antagonisms",https://expose-news.com/2022/06/09/red-cross-harvesting-organs-in-ukraine/
2200,3,Disinformation,Undermining international organizations and alliances,https://thepeoplesvoice.tv/former-pentagon-advisor-says-nato-faces-a-catastrophic-defeat-in-ukraine/
2200,1,Disinformation,Undermining international organizations and alliances,https://thepeoplesvoice.tv/former-pentagon-advisor-says-nato-faces-a-catastrophic-defeat-in-ukraine/
